BIB NO.,AGE,GENDER,CATEGORY,SWIM,T1,BIKE,T2,RUN
153,32,M,M PREMIER,00:18:02,00:04:34,01:06:50,00:01:23,00:38:17
154,33,M,M PREMIER,00:16:19,00:04:18,01:14:01,00:01:36,00:37:05
155,33,M,M PREMIER,00:15:52,00:04:02,01:03:15,00:01:06,00:40:16
156,33,M,M PREMIER,00:18:43,00:04:18,01:03:30,00:01:06,00:36:36
157,34,M,M PREMIER,00:15:15,00:04:05,01:09:59,00:01:26,00:35:34
158,34,M,M PREMIER,00:19:20,00:06:16,01:11:06,00:01:28,00:41:12
159,34,M,M PREMIER,00:14:26,00:04:17,01:04:54,00:00:58,00:36:46
160,34,M,M PREMIER,00:17:19,00:04:25,01:08:22,00:01:42,00:38:19
161,35,M,M PREMIER,00:15:50,00:04:42,01:07:10,00:01:17,00:38:36
162,35,M,M PREMIER,00:17:41,00:04:53,01:18:48,00:01:19,00:47:55
163,35,M,M PREMIER,00:16:20,00:04:20,01:08:54,00:01:34,00:39:45
164,36,M,M PREMIER,00:15:54,00:03:57,01:05:50,00:01:03,00:40:28
165,36,M,M PREMIER,00:14:56,00:04:28,01:06:04,00:01:40,00:40:14
167,46,M,M PREMIER,00:15:42,00:04:12,01:03:40,00:00:59,00:38:36
168,38,M,M PREMIER,00:20:28,00:04:39,01:10:37,00:01:38,00:42:56
169,38,M,M PREMIER,00:15:54,00:03:58,01:03:29,00:01:05,00:36:34
171,39,M,M PREMIER,00:17:11,00:04:10,01:09:34,00:00:59,00:40:29
172,39,M,M PREMIER,00:17:03,00:04:04,01:05:28,00:00:55,00:35:19
173,39,M,M PREMIER,00:19:18,00:05:43,01:22:13,00:01:24,00:41:17
174,39,M,M PREMIER,00:18:13,00:05:09,01:06:54,00:01:34,00:42:49
175,40,M,M PREMIER,00:15:47,00:04:32,01:08:21,00:00:57,00:41:23
176,40,M,M PREMIER,00:16:59,00:04:05,01:14:52,00:01:00,00:41:08
177,41,M,M PREMIER,00:18:18,00:05:15,01:14:55,00:01:42,00:40:10
179,42,M,M PREMIER,00:17:58,00:04:35,01:04:13,00:01:50,00:43:55
180,42,M,M PREMIER,00:17:22,00:04:29,01:15:21,00:01:16,00:42:53
181,42,M,M PREMIER,00:16:30,00:04:36,01:11:06,00:01:12,00:43:42
182,43,M,M PREMIER,00:17:09,00:04:33,01:08:51,00:01:29,00:42:01
184,45,M,M PREMIER,00:16:45,00:04:04,01:04:50,00:01:06,00:38:47
185,47,M,M PREMIER,00:18:07,00:05:13,01:11:45,00:01:28,00:45:57
188,51,M,M PREMIER,00:15:36,00:03:30,01:08:44,00:00:58,00:39:23
189,54,M,M PREMIER,00:16:18,00:04:26,01:13:17,00:01:27,00:41:02
191,34,M,M PREMIER,00:16:49,00:05:41,01:11:08,00:01:55,00:48:31
195,38,F,F PREMIER,00:15:43,00:04:45,01:09:34,00:01:16,00:44:24
196,25,F,F PREMIER,00:19:11,00:04:05,01:16:58,00:00:56,00:36:48
198,26,F,F PREMIER,00:15:42,00:03:58,01:13:21,00:01:07,00:42:15
199,27,F,F PREMIER,00:15:45,00:04:55,01:05:50,00:01:09,00:38:52
200,27,F,F PREMIER,00:15:35,00:04:28,01:15:42,00:01:09,00:40:54
201,27,F,F PREMIER,00:16:26,00:04:47,01:14:43,00:01:25,00:40:59
202,29,F,F PREMIER,00:15:39,00:04:11,01:19:22,00:02:04,00:39:23
203,31,F,F PREMIER,00:16:32,00:04:52,01:21:04,00:01:27,00:42:36
204,32,F,F PREMIER,00:15:30,00:05:25,01:17:40,00:01:06,00:49:42
205,34,F,F PREMIER,00:17:16,00:04:37,01:17:27,00:01:24,00:44:48
206,35,F,F PREMIER,00:19:50,00:06:27,01:25:33,00:02:28,00:49:14
207,35,F,F OPEN,00:16:27,00:05:36,01:20:33,00:01:31,00:48:16
208,36,F,F PREMIER,00:17:52,00:05:02,01:16:27,00:01:25,00:45:27
209,37,F,F PREMIER,00:16:28,00:05:15,01:11:19,00:01:20,00:45:51
210,37,F,F PREMIER,00:17:31,00:05:33,01:18:07,00:01:22,00:48:16
211,40,F,F PREMIER,00:19:03,00:04:56,01:18:36,00:01:02,00:44:44
212,51,F,F PREMIER,00:18:47,00:05:06,01:20:14,00:02:41,00:45:10
213,51,F,F PREMIER,00:17:01,00:06:01,01:18:48,00:01:17,00:49:11
214,33,F,F PREMIER,00:16:41,00:04:45,01:12:07,00:01:16,00:45:38
216,27,F,F OPEN,00:24:52,00:07:32,01:25:19,00:01:28,00:52:27
217,31,M,M OPEN,00:16:05,00:06:02,01:20:36,00:01:38,00:45:56
220,35,M,M OPEN,00:19:03,00:06:12,01:20:06,00:01:47,00:47:07
224,40,F,F OPEN,00:20:26,00:08:45,01:32:36,00:02:59,01:02:58
225,41,M,M OPEN,00:22:36,00:08:25,01:21:15,00:03:03,01:01:29
226,41,M,M OPEN,00:21:16,00:08:23,01:19:35,00:01:38,00:52:45
228,42,M,M OPEN,00:16:28,00:04:48,01:11:21,00:01:30,00:48:20
229,42,M,M OPEN,00:24:15,00:07:45,01:30:34,00:02:39,01:04:40
230,43,M,M OPEN,00:17:57,00:07:31,01:18:35,00:02:24,00:47:49
231,43,M,M OPEN,00:24:28,00:09:13,01:48:57,00:05:28,01:18:50
234,44,F,F OPEN,00:20:33,00:06:11,01:24:54,00:01:37,00:54:30
235,44,M,M OPEN,00:21:03,00:08:42,01:25:14,00:02:50,00:57:58
236,44,F,F OPEN,00:20:57,00:08:15,01:33:32,00:03:59,01:06:39
237,44,M,M OPEN,00:22:46,00:09:27,01:33:27,00:04:38,01:20:00
238,45,F,F OPEN,00:23:19,00:09:16,01:22:39,00:03:18,01:00:06
239,45,M,M OPEN,00:19:43,00:10:54,01:31:26,00:04:02,01:10:01
240,45,M,M OPEN,00:22:49,00:09:46,01:45:17,00:04:25,01:15:52
241,46,M,M OPEN,00:20:21,00:08:49,01:15:40,00:01:55,00:47:50
242,48,M,M OPEN,00:19:07,00:08:27,01:27:55,00:03:53,01:05:31
243,48,M,M OPEN,00:18:44,00:05:31,01:20:07,00:01:35,00:45:48
244,49,M,M OPEN,00:19:25,00:09:09,01:19:29,00:03:23,00:55:36
245,49,M,M OPEN,00:19:09,00:06:03,01:19:15,00:01:44,00:56:26
246,50,M,M OPEN,00:26:13,00:12:10,01:57:39,00:06:25,01:00:42
247,50,M,M OPEN,00:17:25,00:05:20,01:22:17,00:02:49,00:50:53
248,51,M,M OPEN,00:21:21,00:10:31,01:27:56,00:02:55,00:49:31
249,52,M,M OPEN,00:21:05,00:11:35,01:34:49,00:04:25,01:01:00
250,54,M,M OPEN,00:19:56,00:11:43,01:31:45,00:07:58,01:10:00
251,55,M,M OPEN,00:20:36,00:08:31,01:21:15,00:02:05,00:44:16
253,56,F,F OPEN,00:22:48,00:08:35,01:32:55,00:02:01,00:54:57
254,61,M,M OPEN,00:18:05,00:09:56,01:23:38,00:03:36,00:59:03
260,55,M,M OPEN,00:19:14,00:05:34,01:14:00,00:01:29,00:47:02
263,55,M,M OPEN,00:19:54,00:07:37,01:18:38,00:02:33,00:45:41
267,55,M,M OPEN,00:29:57,00:09:02,01:34:31,00:05:09,00:56:32
270,55,M,M OPEN,00:21:10,00:09:19,01:27:16,00:02:22,00:56:48
271,55,M,M OPEN,00:24:59,00:09:38,01:33:05,00:02:29,01:00:54
272,55,M,M OPEN,00:19:12,00:05:46,01:17:56,00:01:33,00:40:10
273,55,M,M OPEN,00:20:23,00:06:54,01:23:52,00:02:58,00:57:02
274,55,M,M OPEN,00:19:49,00:06:53,01:22:44,00:01:48,00:48:49
275,55,M,M OPEN,00:19:31,00:09:03,01:23:00,00:02:50,01:03:49
276,55,M,M OPEN,00:15:27,00:07:04,01:27:22,00:01:47,00:58:57
278,55,M,M OPEN,00:17:09,00:06:31,01:18:10,00:02:05,00:49:51
280,55,M,M OPEN,00:19:41,00:08:30,01:21:19,00:02:23,00:53:48
283,55,M,M OPEN,00:16:53,00:05:36,01:16:17,00:01:19,00:47:56
284,55,M,M OPEN,00:21:43,00:08:14,01:26:16,00:02:19,01:00:49
285,55,M,M OPEN,00:21:27,00:08:28,01:28:09,00:02:46,01:04:44
286,55,M,M OPEN,00:21:32,00:10:58,01:37:14,00:07:02,01:11:10
287,55,M,M OPEN,00:21:54,00:10:30,01:21:41,00:04:03,01:00:53
288,55,M,M OPEN,00:20:01,00:07:15,01:27:24,00:02:04,00:56:06
290,55,M,M OPEN,00:20:01,00:09:32,01:34:54,00:04:19,01:11:43
293,55,M,M OPEN,00:27:33,00:17:31,01:46:14,00:07:13,01:16:46
295,55,M,M OPEN,00:22:06,00:13:32,01:31:19,00:04:42,01:04:25
296,55,M,M OPEN,00:18:02,00:10:27,01:23:41,00:04:24,00:48:37
297,55,M,M OPEN,00:21:16,00:08:11,01:28:12,00:02:28,01:03:49
299,55,M,M OPEN,00:19:09,00:06:31,01:17:25,00:01:47,00:58:42
300,55,M,M OPEN,00:26:25,00:13:00,01:48:21,00:07:23,01:09:46
301,55,M,M OPEN,00:19:10,00:06:17,01:19:07,00:02:29,00:54:46
302,55,M,M OPEN,00:18:25,00:08:17,01:18:07,00:01:48,00:52:50
304,55,M,M OPEN,00:18:05,00:05:55,01:12:11,00:02:32,00:42:34
306,55,M,M OPEN,00:22:02,00:11:36,01:17:15,00:04:02,00:51:22
307,55,M,M OPEN,00:25:11,00:11:57,01:29:41,00:04:22,01:07:54
308,55,M,M OPEN,00:22:10,00:08:55,01:23:32,00:02:58,01:03:44
309,55,M,M OPEN,00:20:31,00:13:26,01:36:51,00:03:28,01:17:24
311,55,M,M OPEN,00:19:57,00:08:40,01:24:02,00:03:56,00:56:25
312,55,M,M OPEN,00:21:52,00:11:12,01:44:21,00:04:13,01:22:31
313,55,M,M OPEN,00:27:53,00:12:27,02:06:41,00:07:22,01:20:15
315,55,M,M OPEN,00:19:36,00:06:30,01:17:38,00:02:04,00:51:50
316,55,M,M OPEN,00:21:34,00:08:52,01:25:28,00:01:31,00:51:07
321,56,M,M OPEN,00:18:22,00:05:51,01:23:10,00:01:50,00:54:14
322,56,M,M OPEN,00:17:12,00:06:24,01:20:36,00:01:38,00:48:50
323,56,M,M OPEN,00:25:42,00:13:13,01:33:30,00:05:44,01:06:59
325,56,M,M OPEN,00:19:48,00:09:07,01:31:01,00:03:36,01:11:04
326,56,M,M OPEN,00:20:49,00:06:02,01:18:54,00:02:07,01:01:02
327,56,M,M OPEN,00:19:25,00:06:46,01:26:28,00:01:43,00:59:02
328,56,M,M OPEN,00:22:34,00:09:11,01:26:59,00:05:52,00:55:14
329,56,M,M OPEN,00:17:44,00:08:23,01:28:40,00:03:39,01:01:11
331,56,M,M OPEN,00:17:48,00:07:42,01:34:18,00:03:24,00:45:20
332,56,M,M OPEN,00:17:28,00:05:57,01:11:24,00:01:31,00:47:12
333,56,M,M OPEN,00:23:48,00:15:54,01:48:12,00:03:26,01:31:53
334,56,M,M OPEN,00:21:59,00:13:15,01:36:00,00:06:28,01:05:49
335,56,M,M OPEN,00:21:44,00:06:21,01:18:47,00:02:17,00:54:05
340,56,M,M OPEN,00:21:56,00:09:44,01:41:32,00:06:05,01:30:06
341,56,M,M OPEN,00:20:02,00:11:46,01:29:28,00:04:24,01:08:26
342,56,M,M OPEN,00:19:30,00:08:15,01:25:45,00:03:04,00:54:30
343,56,M,M OPEN,00:18:28,00:06:19,01:16:24,00:02:03,00:56:48
347,56,M,M OPEN,00:18:00,00:05:51,01:16:53,00:01:29,00:46:36
348,56,M,M OPEN,00:21:48,00:09:38,01:38:56,00:07:05,01:13:36
349,56,M,M OPEN,00:25:11,00:21:17,02:09:01,00:05:40,01:32:57
350,56,M,M OPEN,00:19:59,00:08:06,01:23:04,00:02:30,00:57:06
351,56,M,M OPEN,00:19:54,00:08:21,01:32:02,00:02:57,01:17:48
352,56,M,M OPEN,00:21:26,00:11:06,01:38:00,00:03:41,01:03:55
353,56,M,M OPEN,00:21:03,00:08:28,01:26:21,00:01:46,01:01:12
354,56,M,M OPEN,00:17:30,00:06:55,01:15:50,00:01:58,00:45:35
355,56,M,M OPEN,00:23:31,00:11:07,01:39:42,00:04:51,00:51:45
356,56,M,M OPEN,00:20:16,00:14:05,01:36:10,00:06:07,01:31:15
357,56,M,M OPEN,00:21:39,00:09:22,01:32:57,00:02:21,00:57:48
358,56,M,M OPEN,00:17:25,00:06:43,01:17:42,00:03:22,01:09:28
361,56,M,M OPEN,00:26:34,00:10:22,01:28:40,00:04:56,01:32:36
362,56,M,M OPEN,00:20:25,00:09:42,01:21:03,00:03:16,00:58:20
363,56,M,M OPEN,00:17:55,00:10:46,01:29:34,00:06:05,01:00:37
364,56,M,M OPEN,00:23:27,00:10:33,01:56:50,00:08:34,01:31:09
365,56,M,M OPEN,00:22:33,00:14:20,01:47:10,00:06:11,01:21:21
367,56,M,M OPEN,00:17:47,00:06:04,01:19:40,00:02:14,00:50:09
368,57,M,M OPEN,00:21:48,00:16:23,01:53:29,00:04:53,00:53:52
369,57,M,M OPEN,00:18:56,00:07:17,01:17:26,00:03:52,00:54:55
370,57,M,M OPEN,00:23:18,00:10:28,01:30:55,00:03:35,01:03:11
371,57,M,M OPEN,00:20:54,00:09:40,01:40:20,00:04:38,01:07:37
372,57,M,M OPEN,00:20:47,00:08:44,01:35:08,00:03:42,01:07:58
374,57,M,M OPEN,00:19:34,00:07:21,01:23:48,00:02:23,00:50:52
375,57,M,M OPEN,00:20:40,00:08:47,01:25:41,00:02:43,00:54:31
378,57,M,M OPEN,00:24:36,00:12:13,01:26:42,00:04:14,01:06:21
379,57,M,M OPEN,00:19:32,00:06:40,01:30:40,00:01:40,00:58:37
381,57,M,M OPEN,00:24:32,00:11:56,01:41:20,00:04:26,01:22:20
384,57,M,M OPEN,00:18:45,00:05:30,01:17:46,00:01:36,00:49:04
385,57,M,M OPEN,00:19:17,00:07:36,01:27:48,00:02:50,00:58:17
386,57,M,M OPEN,00:17:20,00:04:51,01:16:57,00:01:11,00:48:10
388,57,M,M OPEN,00:27:02,00:13:10,01:55:49,00:02:45,01:35:06
389,57,M,M OPEN,00:20:39,00:08:06,01:30:01,00:02:27,00:56:39
391,57,M,M OPEN,00:18:27,00:06:05,01:22:36,00:01:41,00:48:43
392,57,M,M OPEN,00:19:48,00:08:52,01:18:09,00:02:49,01:02:03
393,57,M,M OPEN,00:19:41,00:10:55,01:28:18,00:05:38,01:13:24
395,57,M,M OPEN,00:20:05,00:08:30,01:28:27,00:02:00,01:03:57
396,57,M,M OPEN,00:21:03,00:09:15,01:31:44,00:02:59,00:49:39
397,57,M,M OPEN,00:35:16,00:15:17,01:42:46,00:06:04,01:05:24
399,57,M,M OPEN,00:20:30,00:10:19,01:23:14,00:03:18,01:01:13
401,58,M,M OPEN,00:24:42,00:08:16,01:17:44,00:02:21,00:48:39
402,58,M,M OPEN,00:24:30,00:12:06,01:31:17,00:02:57,01:14:49
403,58,M,M OPEN,00:19:20,00:11:41,01:30:51,00:04:52,01:06:46
404,58,M,M OPEN,00:18:27,00:06:42,01:30:23,00:02:15,01:06:43
406,58,M,M OPEN,00:17:45,00:07:55,01:36:25,00:01:36,01:02:48
407,58,M,M OPEN,00:22:49,00:08:13,01:32:55,00:02:32,01:01:26
408,58,M,M OPEN,00:22:04,00:09:12,01:33:07,00:05:20,01:11:56
409,58,F,F OPEN,00:21:51,00:08:09,01:42:51,00:02:24,01:06:31
410,58,M,M OPEN,00:23:33,00:11:33,01:37:12,00:04:46,00:59:15
411,58,M,M OPEN,00:20:37,00:10:52,01:26:10,00:04:40,00:59:34
413,58,M,M OPEN,00:20:52,00:20:12,01:26:12,00:04:58,01:43:13
415,58,M,M OPEN,00:22:05,00:10:07,01:50:04,00:04:48,01:19:56
417,58,M,M OPEN,00:21:43,00:10:58,01:37:17,00:04:33,01:14:27
418,58,M,M OPEN,00:19:39,00:08:46,01:22:17,00:03:06,01:08:00
419,58,M,M OPEN,00:19:04,00:09:39,01:21:19,00:04:34,00:51:26
421,58,M,M OPEN,00:17:35,00:05:41,01:23:03,00:02:11,00:57:38
422,58,M,M OPEN,00:18:53,00:06:43,01:21:41,00:01:59,00:51:36
423,58,M,M OPEN,00:22:13,00:06:30,01:20:16,00:02:12,00:45:17
425,58,M,M OPEN,00:18:59,00:09:32,01:17:42,00:03:37,00:57:20
426,58,M,M OPEN,00:23:45,00:07:33,01:29:23,00:02:26,00:58:54
427,58,M,M OPEN,00:18:43,00:06:55,01:21:30,00:02:12,00:47:56
428,58,M,M OPEN,00:16:39,00:07:40,01:28:37,00:03:55,00:56:45
429,58,M,M OPEN,00:21:38,00:11:23,01:31:49,00:04:50,01:10:39
431,58,M,M OPEN,00:18:10,00:12:27,01:53:27,00:13:18,01:45:34
434,58,M,M OPEN,00:19:59,00:18:02,01:47:52,00:09:55,01:23:45
436,58,M,M OPEN,00:16:40,00:07:08,01:17:31,00:03:01,00:57:59
437,58,M,M OPEN,00:24:16,00:12:49,01:39:37,00:04:27,01:21:48
438,58,M,M OPEN,00:19:59,00:06:33,01:17:08,00:01:30,00:51:48
440,58,M,M OPEN,00:22:23,00:12:10,01:50:23,00:05:12,01:12:55
441,58,M,M OPEN,00:17:10,00:08:26,01:17:11,00:02:27,00:52:21
443,58,M,M OPEN,00:18:23,00:08:00,01:23:48,00:02:41,00:54:40
444,58,M,M OPEN,00:23:46,00:12:02,01:39:54,00:05:10,01:10:49
446,58,M,M OPEN,00:21:37,00:11:15,01:29:39,00:05:23,01:02:02
447,59,M,M OPEN,00:21:45,00:09:11,01:26:42,00:03:36,00:56:35
448,59,M,M OPEN,00:18:43,00:08:10,01:20:24,00:03:52,00:47:13
450,59,M,M OPEN,00:22:59,00:10:10,01:39:07,00:02:54,00:55:54
451,59,M,M OPEN,00:20:00,00:09:03,01:21:02,00:01:36,00:51:45
452,59,M,M OPEN,00:18:35,00:08:53,01:24:15,00:02:15,00:58:42
453,59,M,M OPEN,00:23:30,00:15:41,01:36:00,00:04:37,00:58:50
454,59,M,M OPEN,00:20:07,00:07:01,01:20:33,00:02:26,00:52:23
455,59,M,M OPEN,00:17:39,00:08:53,01:24:41,00:03:55,00:55:55
457,59,M,M OPEN,00:26:51,00:21:26,02:03:27,00:07:22,01:20:27
458,59,M,M OPEN,00:18:53,00:09:57,01:29:23,00:04:12,01:08:05
460,59,M,M OPEN,00:24:35,00:12:01,01:41:34,00:04:12,01:01:02
462,59,M,M OPEN,00:21:14,00:11:58,01:29:13,00:04:14,01:06:40
463,59,M,M OPEN,00:19:30,00:10:26,01:30:23,00:07:21,01:10:35
464,59,M,M OPEN,00:28:44,00:09:23,01:40:16,00:03:26,01:02:21
465,59,M,M OPEN,00:22:38,00:10:13,01:35:42,00:02:32,01:03:52
466,57,M,M OPEN,00:21:42,00:11:16,01:35:46,00:02:11,01:02:17
467,59,M,M OPEN,00:19:49,00:12:02,01:30:24,00:05:33,00:58:12
468,59,M,M OPEN,00:21:18,00:12:27,01:26:57,00:02:35,01:09:22
469,59,M,M OPEN,00:19:37,00:07:45,01:21:39,00:02:08,00:54:05
470,59,M,M OPEN,00:20:44,00:08:24,01:39:34,00:05:14,01:15:39
471,59,M,M OPEN,00:21:20,00:10:39,01:39:02,00:02:28,01:07:10
472,59,M,M OPEN,00:17:23,00:07:57,01:27:25,00:02:03,01:18:32
473,59,M,M OPEN,00:19:22,00:06:34,01:19:09,00:01:32,01:00:55
474,59,M,M OPEN,00:18:16,00:08:41,01:16:24,00:01:55,01:02:34
475,60,M,M OPEN,00:17:47,00:11:45,01:39:28,00:03:23,01:16:50
476,60,M,M OPEN,00:16:55,00:05:22,01:12:37,00:01:25,00:47:14
479,60,M,M OPEN,00:20:41,00:09:02,01:18:10,00:03:22,00:57:31
480,60,M,M OPEN,00:20:23,00:10:13,01:21:29,00:03:01,00:58:01
483,60,M,M OPEN,00:16:32,00:08:50,01:26:49,00:02:11,01:24:37
484,60,M,M OPEN,00:15:59,00:06:56,01:24:21,00:02:16,00:55:27
485,60,M,M OPEN,00:18:58,00:05:40,01:13:25,00:01:25,00:53:13
488,60,M,M OPEN,00:20:35,00:10:09,02:31:30,00:05:07,01:07:31
492,60,M,M OPEN,00:16:21,00:06:53,01:26:58,00:01:55,00:51:26
495,60,M,M OPEN,00:29:40,00:09:38,01:48:56,00:05:16,01:31:31
496,60,M,M OPEN,00:19:14,00:14:11,01:50:15,00:05:06,01:42:44
498,60,M,M OPEN,00:21:31,00:11:42,01:33:28,00:04:20,01:12:16
499,60,M,M OPEN,00:20:20,00:10:20,01:25:43,00:03:19,01:06:15
502,60,M,M OPEN,00:20:44,00:07:02,01:20:22,00:01:55,00:52:22
504,60,M,M OPEN,00:23:15,00:08:43,01:39:50,00:02:11,01:05:16
509,60,M,M OPEN,00:23:02,00:09:22,01:36:34,00:03:17,01:03:50
510,60,M,M OPEN,00:25:19,00:10:16,01:35:47,00:04:54,01:27:45
512,60,M,M OPEN,00:22:35,00:20:27,01:56:45,00:07:08,01:06:39
514,61,M,M OPEN,00:27:11,00:18:38,01:33:45,00:11:47,01:14:20
516,61,M,M OPEN,00:17:13,00:09:57,01:32:11,00:04:32,00:59:22
518,61,M,M OPEN,00:21:21,00:07:45,01:15:30,00:02:37,00:52:41
520,61,M,M OPEN,00:18:54,00:07:39,01:30:31,00:04:41,00:58:24
521,61,M,M OPEN,00:18:55,00:06:07,01:18:35,00:01:53,00:47:34
522,61,M,M OPEN,00:18:17,00:06:07,01:11:29,00:01:44,00:50:04
523,61,M,M OPEN,00:21:08,00:08:48,01:49:24,00:07:16,01:00:54
524,61,M,M OPEN,00:21:23,00:08:08,01:18:04,00:03:01,00:55:26
525,61,M,M OPEN,00:19:51,00:07:05,01:27:35,00:03:30,00:57:03
526,61,M,M OPEN,00:17:29,00:08:12,01:23:19,00:02:35,00:51:13
527,61,M,M OPEN,00:24:41,00:16:15,01:28:24,00:07:08,01:06:08
528,61,M,M OPEN,00:23:32,00:10:09,01:40:46,00:04:45,01:27:36
529,61,M,M OPEN,00:21:18,00:08:08,01:21:11,00:02:37,01:02:10
531,61,M,M OPEN,00:21:01,00:09:23,01:36:15,00:03:20,01:00:49
533,61,M,M OPEN,00:26:32,00:10:36,01:33:46,00:03:57,00:59:05
535,61,M,M OPEN,00:21:23,00:13:08,01:40:19,00:04:13,01:17:30
538,61,M,M OPEN,00:16:59,00:04:53,01:12:41,00:01:19,00:44:38
539,61,M,M OPEN,00:16:18,00:07:18,01:22:38,00:02:15,01:08:01
540,61,M,M OPEN,00:18:48,00:10:54,01:25:44,00:05:07,01:39:04
541,61,M,M OPEN,00:18:10,00:05:24,01:15:11,00:02:14,00:44:52
542,62,M,M OPEN,00:22:01,00:09:50,01:27:25,00:03:44,01:07:10
543,62,M,M OPEN,00:21:35,00:08:52,01:33:12,00:06:22,01:09:07
544,62,M,M OPEN,00:20:32,00:10:27,01:18:31,00:03:25,01:04:35
546,62,M,M OPEN,00:16:59,00:08:53,01:17:39,00:03:46,00:51:01
549,62,M,M OPEN,00:21:15,00:08:44,01:34:35,00:03:06,01:08:02
550,62,M,M OPEN,00:19:51,00:09:57,01:27:16,00:03:28,01:00:06
551,62,M,M OPEN,00:18:38,00:16:08,01:32:47,00:03:27,01:09:16
552,62,M,M OPEN,00:20:44,00:09:37,01:22:38,00:03:50,01:21:01
553,62,M,M OPEN,00:19:32,00:07:21,01:27:02,00:01:46,00:53:28
555,62,M,M OPEN,00:17:44,00:06:12,01:16:10,00:03:36,00:56:05
556,62,M,M OPEN,00:22:48,00:08:51,01:40:26,00:04:14,01:14:49
557,62,M,M OPEN,00:16:47,00:09:05,01:29:38,00:01:38,00:50:35
560,62,M,M OPEN,00:29:01,00:25:19,01:38:07,00:09:01,01:14:53
561,62,M,M OPEN,00:19:27,00:08:04,01:11:08,00:02:09,00:49:44
565,62,M,M OPEN,00:21:01,00:15:17,01:48:00,00:05:00,01:03:28
566,62,M,M OPEN,00:21:50,00:23:21,02:06:02,00:08:30,01:26:28
569,62,M,M OPEN,00:19:27,00:06:44,01:13:49,00:01:16,00:51:54
570,62,M,M OPEN,00:24:29,00:08:34,01:40:49,00:01:25,00:55:37
572,63,M,M OPEN,00:16:17,00:05:43,01:12:31,00:01:21,00:51:50
574,63,M,M OPEN,00:20:18,00:04:41,01:21:54,00:01:13,01:13:26
575,63,M,M OPEN,00:24:42,00:22:36,01:42:30,00:06:40,01:26:03
576,63,M,M OPEN,00:21:42,00:13:35,01:32:49,00:04:04,01:23:21
577,63,M,M OPEN,00:20:44,00:10:01,01:24:29,00:04:31,01:01:40
578,63,M,M OPEN,00:16:23,00:05:32,01:12:56,00:01:25,00:47:46
579,63,M,M OPEN,00:16:57,00:08:09,01:26:16,00:02:20,01:00:27
580,63,M,M OPEN,00:20:00,00:08:13,01:24:13,00:04:22,01:00:30
581,63,M,M OPEN,00:16:29,00:09:33,01:24:17,00:03:56,01:16:01
582,63,M,M OPEN,00:22:23,00:13:48,01:40:44,00:04:48,00:59:24
584,63,M,M OPEN,00:22:02,00:11:44,01:24:03,00:05:27,01:11:35
586,64,M,M OPEN,00:21:09,00:11:18,01:26:04,00:05:03,01:00:24
